tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,-1.786926375771615,-0.7599815065722353,0.0,0.000196,0.000196,0.0
yellow,-2.216459470068262,-1.4348898850144005,0.0,0.000196,0.000196,0.0
yellow,-2.646105733545405,-2.109726226099433,0.0,0.000196,0.000196,0.0
yellow,-3.075837882360475,-2.7845078794629416,0.0,0.000196,0.000196,0.0
yellow,-3.505628649815776,-3.4592521984389566,0.0,0.000196,0.000196,0.0
yellow,-3.9354507166124844,-4.133976579843219,0.0,0.000196,0.000196,0.0
yellow,-4.365277182470499,-4.8086981588936775,0.0,0.000196,0.000196,0.0
yellow,-4.795090530337491,-5.483428094472926,0.0,0.000196,0.000196,0.0
yellow,-5.22488857882105,-6.15816777574931,0.0,0.000196,0.000196,0.0
yellow,-5.654670951500146,-6.832917441996227,0.0,0.000196,0.000196,0.0
yellow,-6.084437054070824,-7.507677471224831,0.0,0.000196,0.000196,0.0
yellow,-6.514186473883256,-8.182448125692177,0.0,0.000196,0.000196,0.0
yellow,-6.9439186912272435,-8.857229735794675,0.0,0.000196,0.000196,0.0
yellow,-7.373633301710591,-9.532022558437149,0.0,0.000196,0.000196,0.0
yellow,-7.803329688825116,-10.206826985549897,0.0,0.000196,0.000196,0.0
yellow,-8.23300742603431,-10.881643288030116,0.0,0.000196,0.000196,0.0
yellow,-8.662666083996394,-11.556471738511746,0.0,0.000196,0.000196,0.0
yellow,-9.092305046650182,-12.231312728455446,0.0,0.000196,0.000196,0.0
yellow,-9.52192397641116,-12.906166471962166,0.0,0.000196,0.000196,0.0
yellow,-9.951522315714302,-13.581033323124434,0.0,0.000196,0.000196,0.0
yellow,-10.381099604895516,-14.255913573647575,0.0,0.000196,0.000196,0.0
yellow,-10.81065531503291,-14.930807559256126,0.0,0.000196,0.000196,0.0
yellow,-11.240188998561576,-15.605715563824916,0.0,0.000196,0.000196,0.0
yellow,-11.669700152186298,-16.280637906635512,0.0,0.000196,0.000196,0.0
yellow,-12.099188695043413,-16.955574638097215,0.0,0.000196,0.000196,0.0
yellow,-12.528664999967235,-17.630519156929957,0.0,0.000196,0.000196,0.0
yellow,-12.958158896616029,-18.305452481436948,0.0,0.000196,0.000196,0.0
yellow,-13.387703131774122,-18.980353769964804,0.0,0.000196,0.000196,0.0
yellow,-13.81733052638898,-19.655202123341656,0.0,0.000196,0.000196,0.0
yellow,-14.247073866925975,-20.329976647314105,0.0,0.000196,0.000196,0.0
yellow,-14.676965993485057,-21.00465638967792,0.0,0.000196,0.000196,0.0
yellow,-15.10703973168548,-21.679220376895948,0.0,0.000196,0.000196,0.0
yellow,-15.537327911040899,-22.353647595656902,0.0,0.000196,0.000196,0.0
yellow,-15.967859890082073,-23.027919205699078,0.0,0.000196,0.000196,0.0
yellow,-16.398448890443955,-23.7021544018622,0.0,0.000196,0.000196,0.0
yellow,-16.82838890757515,-24.376803484067096,0.0,0.000196,0.000196,0.0
yellow,-17.25685607730906,-25.052388614791436,0.0,0.000196,0.000196,0.0
yellow,-17.683029040659616,-25.729422840030296,0.0,0.000196,0.000196,0.0
yellow,-18.107527684742394,-26.407507603117192,0.0,0.000196,0.000196,0.0
yellow,-18.548770814621538,-27.074679678783276,0.0,0.000196,0.000196,0.0
yellow,-19.043845284118838,-27.70252613811879,0.0,0.000196,0.000196,0.0
yellow,-19.574078388632884,-28.301557243287363,0.0,0.000196,0.000196,0.0
yellow,-20.116689939730158,-28.88847346929886,0.0,0.000196,0.000196,0.0
yellow,-20.739338366325,-29.389867735833874,0.0,0.000196,0.000196,0.0
yellow,-21.390214053760655,-29.85498822522695,0.0,0.000196,0.000196,0.0
yellow,-22.039063785560185,-30.322952642519482,0.0,0.000196,0.000196,0.0
yellow,-22.694977103165414,-30.780893788366566,0.0,0.000196,0.000196,0.0
yellow,-23.37153235739583,-31.207653123039766,0.0,0.000196,0.000196,0.0
yellow,-24.069015464711367,-31.59931478338261,0.0,0.000196,0.000196,0.0
yellow,-24.783028142542815,-31.959972819166335,0.0,0.000196,0.000196,0.0
yellow,-25.51041802412409,-32.292854395814665,0.0,0.000196,0.000196,0.0
yellow,-26.248543994886116,-32.6012319164473,0.0,0.000196,0.000196,0.0
yellow,-26.995289788440132,-32.88813906170867,0.0,0.000196,0.000196,0.0
yellow,-27.74890513725695,-33.15651467333141,0.0,0.000196,0.000196,0.0
yellow,-28.507884075128295,-33.40935097670017,0.0,0.000196,0.000196,0.0
yellow,-29.270929730354894,-33.64965679743235,0.0,0.000196,0.000196,0.0
yellow,-30.03694358065369,-33.88034102563649,0.0,0.000196,0.000196,0.0
yellow,-30.80500086744062,-34.10413726560021,0.0,0.000196,0.000196,0.0
yellow,-31.57426846577166,-34.323742608269455,0.0,0.000196,0.000196,0.0
yellow,-32.34396810984774,-34.54183074242968,0.0,0.000196,0.000196,0.0
yellow,-33.11346691504432,-34.760626260910584,0.0,0.000196,0.000196,0.0
yellow,-33.882685876305565,-34.98040372143949,0.0,0.000196,0.000196,0.0
yellow,-34.65172271119825,-35.20081771419583,0.0,0.000196,0.000196,0.0
yellow,-35.42067781801698,-35.4215167002085,0.0,0.000196,0.000196,0.0
yellow,-36.18965219821243,-35.64214851660884,0.0,0.000196,0.000196,0.0
yellow,-36.9587471066635,-35.8623597713688,0.0,0.000196,0.000196,0.0
yellow,-37.728064358069716,-36.08179290539693,0.0,0.000196,0.000196,0.0
yellow,-38.49770340715962,-36.300094532710794,0.0,0.000196,0.000196,0.0
yellow,-39.26776275405358,-36.51690867634702,0.0,0.000196,0.000196,0.0
yellow,-40.03832400392164,-36.73193209583698,0.0,0.000196,0.000196,0.0
yellow,-40.80936929041938,-36.94521342867669,0.0,0.000196,0.000196,0.0
yellow,-41.58083710047527,-37.156961459809345,0.0,0.000196,0.000196,0.0
yellow,-42.35266687672479,-37.367386396103576,0.0,0.000196,0.000196,0.0
yellow,-43.12479927158627,-37.57669827869058,0.0,0.000196,0.000196,0.0
yellow,-43.89717588799033,-37.785107246533386,0.0,0.000196,0.000196,0.0
yellow,-44.66973912851284,-37.992823408030866,0.0,0.000196,0.000196,0.0
yellow,-45.44243202359389,-38.20005679116249,0.0,0.000196,0.000196,0.0
yellow,-46.215198076941675,-38.407017231616116,0.0,0.000196,0.000196,0.0
yellow,-46.98798499556149,-38.61389975481693,0.0,0.000196,0.000196,0.0
